slug,status,resolution,market_title,market_id,closed,endDate,resolutionSource,notes
epl-mac-not-2024-12-04-mac,RESOLVED,Yes,Will Manchester City win on 2024-12-04?,514410,True,2024-12-04T19:30:00Z,https://www.premierleague.com/,
will-the-price-of-xrp-be-between-2pt91-and-2pt94-on-september-12-at-4am-et,RESOLVED,No,Will the price of XRP be between $2.91 and $2.94 on September 12 at 4AM ET?,594528,True,2025-09-12T08:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
mlb-bos-nyy-2025-10-01-total-7pt5,RESOLVED,Under,Boston Red Sox vs. New York Yankees: O/U 7.5,618890,True,2025-10-01T22:08:00Z,https://www.mlb.com/scores,
nba-okc-mem-2025-04-26-spread-home-11pt5,RESOLVED,Grizzlies,Spread: Thunder (-11.5),539756,True,2025-05-03T19:30:00Z,https://www.nba.com/,
btc-up-or-down-15m-1758761100,RESOLVED,Down,"Bitcoin Up or Down - September 24, 8:45PM-9:00PM ET",611564,True,2025-09-25T01:00:00Z,https://data.chain.link/streams/btc-usd,
will-trump-say-crypto-or-bitcoin-during-virginia-rally-on-nov-2,RESOLVED,No,"Will Trump say ""crypto"" or ""Bitcoin"" during Virginia rally on Nov 2?",511273,True,2024-11-02T12:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
mlb-ari-sd-2023-04-21,RESOLVED,Diamondbacks,MLB: Arizona Diamondbacks vs. San Diego Padres 2023-04-21,250368,True,2023-04-21T00:00:00Z,https://www.mlb.com/,
will-the-highest-temperature-in-london-be-76f-or-higher-on-august-18,RESOLVED,No,Will the highest temperature in London be 76°F or higher on August 18?,576391,True,2025-08-18T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-the-highest-temperature-in-nyc-be-45f-or-higher-on-february-16,RESOLVED,Yes,Will the highest temperature in NYC be 45°F or higher on February 16?,523311,True,2025-02-16T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
atp-umag-taberner-vs-dzumhur,RESOLVED,Taberner,ATP Umag – Taberner vs. Dzumhur ,567638,True,2025-07-25T00:00:00Z,0x157Ce2d672854c848c9b79C49a8Cc6cc89176a49,
nba-mia-mil-2023-04-24,RESOLVED,Heat,NBA: Miami Heat vs. Milwaukee Bucks 2023-04-24,250423,True,2023-04-24T00:00:00Z,https://www.nba.com/,
will-the-us-tariff-rate-on-china-be-between-100-and-150-on-may-31-353-225,RESOLVED,No,Will the U.S. tariff rate on China be between 100% and 150% on August 15?,544425,True,2025-08-15T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-john-pak-be-the-first-round-leader-at-the-2025-wyndham-championship,RESOLVED,No,Will John Pak be the first round leader at the 2025 Wyndham Championship?,569007,True,2025-08-01T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-alexander-albon-win-the-2025-f1-austrian-grand-prix,RESOLVED,No,Will Alexander Albon win the 2025 F1 Austrian Grand Prix?,553293,True,2025-06-29T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
epl-wes-liv-2024-12-29-liv,RESOLVED,Yes,Will Liverpool win on 2024-12-29?,516439,True,2024-12-29T17:15:00Z,https://www.premierleague.com/,
will-brad-landers-vote-share-be-between-9-and-12-in-the-first-round-of-the-nyc-democratic-mayoral-primary,RESOLVED,Yes,Will Brad Lander’s vote share be between 9% and 12% in the first round of the NYC Democratic mayoral primary?,554574,True,2025-06-24T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
xrp-up-or-down-august-28-11am-et,RESOLVED,Down,"XRP Up or Down - August 28, 11AM ET",581429,True,2025-08-28T16:00:00Z,https://www.binance.com/en/trade/XRP_USDT,
will-mrbeasts-next-video-get-between-2530-million-views-on-day-1-294,RESOLVED,No,Will MrBeast's next video get between 25–30 million views on day 1?,618014,True,2025-12-31T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-trump-say-maga-or-make-america-great-again-this-week,RESOLVED,Yes,"Will Trump say ""MAGA"" or ""Make America Great Again"" this week?",536538,True,2025-04-18T12:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
ethereum-up-or-down-september-10-8pm-et,RESOLVED,Up,"Ethereum Up or Down - September 10, 8PM ET",591969,True,2025-09-11T01:00:00Z,https://www.binance.com/en/trade/ETH_USDT,
will-the-seahawks-or-the-rams-win-their-week-10-nfl-matchup,RESOLVED_UNKNOWN,,Will the Seahawks or the Rams win their week 10 NFL matchup?,99,True,2020-11-16T00:00:00Z,https://www.nfl.com/,no payout==1 found
trump-x-xi-talk-before-july-655,RESOLVED,No,Trump x Xi talk before July?,552825,True,2025-06-30T00:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
cbb-utah-ucf-2025-02-23,RESOLVED,UCF,Utah vs. UCF,524569,True,2025-03-02T21:00:00Z,https://www.ncaa.com/,
will-sushiswap-have-more-tvl-than-uniswap-at-any-time-before-november-24th-according-to-defipulse,RESOLVED_UNKNOWN,,"Will Sushiswap have more TVL than Uniswap at any time before November 24th, according to DefiPulse?",102,True,2020-11-24T00:00:00Z,https://defipulse.com/,no payout==1 found
mlb-min-chc-2023-05-14,RESOLVED,Twins,MLB: Minnesota Twins vs. Chicago Cubs 2023-05-14,250958,True,2023-05-14T00:00:00Z,https://www.mlb.com/,
nba-phi-nop-2025-03-24-moneyline,RESOLVED,Pelicans,76ers vs Pelicans,530069,True,2025-04-01T00:00:00Z,https://www.nba.com/,
nba-lal-chi-2025-03-27-total-233pt5,RESOLVED,Over,Over 233.5,531499,True,2025-04-04T00:00:00Z,https://www.nba.com/,
shevchenko-vs-fiorot,RESOLVED,Shevchenko,Shevchenko vs. Fiorot,540143,True,2025-05-11T12:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
will-parham-maghsoodloo-win-the-2025-freestyle-chess-lands-in-las-vegas-tournament-336,RESOLVED,No,Will Parham Maghsoodloo win the 2025 Freestyle Chess Lands in Las Vegas tournament?,550963,True,2025-07-20T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
btc-up-or-down-15m-1759826700,RESOLVED,Up,"Bitcoin Up or Down - October 7, 4:45AM-5:00AM ET",624673,True,2025-10-07T09:00:00Z,https://data.chain.link/streams/btc-usd,
cbb-m-oh-ohio-2025-03-01,RESOLVED,Ohio,Miami (OH) vs. Ohio,525250,True,2025-03-08T18:00:00Z,https://www.ncaa.com/,
btc-up-or-down-15m-1759172400,RESOLVED,Down,"Bitcoin Up or Down - September 29, 3:00PM-3:15PM ET",617115,True,2025-09-29T19:15:00Z,https://data.chain.link/streams/btc-usd,
nba-bos-nyk-2025-04-08-spread-away-1pt5,RESOLVED,Celtics,Spread: Knicks (-1.5),535165,True,2025-04-15T23:30:00Z,https://www.nba.com/,
will-donald-trump-sign-an-executive-order-on-july-31,RESOLVED,Yes,Will Donald Trump sign an executive order on July 31?,568107,True,2025-08-01T00:00:00Z,0x157Ce2d672854c848c9b79C49a8Cc6cc89176a49,
nba-orl-was-2025-03-21-spread-home-5pt5,RESOLVED,Favorite,Favorite(Magic) vs Underdog(Wizards) Line: 5.5,529325,True,2025-03-28T23:00:00Z,https://www.nba.com/,
will-the-price-of-ethereum-be-less-than-4200-on-august-29,RESOLVED,No,Will the price of Ethereum be less than $4200 on August 29?,579987,True,2025-08-29T16:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-stefanos-tsitsipas-win-the-2024-french-open-mens-singles,RESOLVED,No,Will Stefanos Tsitsipas win the 2024 French Open Men's Singles?,501621,True,2024-06-09T12:00:00Z,https://www.rolandgarros.com/en-us/,
will-the-price-of-bitcoin-be-between-109k-and-110k-on-may-24-at-5-pm-et,RESOLVED,No,Will the price of Bitcoin be between $109K and $110K on May 24 at 5 PM ET?,546897,True,,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-the-price-of-bitcoin-be-between-110k-and-110500-on-september-26-at-4am-et,RESOLVED,No,"Will the price of Bitcoin be between $110,000 and $110,500 on September 26 at 4AM ET?",613100,True,2025-09-26T08:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
ufc-fight-night-will-whittaker-win-by-kotkodq,RESOLVED,No,UFC Fight Night: Will Whittaker win by KO/TKO/DQ?,565188,True,2025-07-27T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
xrp-multistrike-4h-1757289600-2pt94,RESOLVED,No,Will the price of XRP be above $2.94 on September 7 at 8PM ET?,590094,True,2025-09-08T00:00:00Z,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,
nba-atl-hou-2025-03-25-spread-away-8pt5,RESOLVED,Underdog,Spread: Rockets (-8.5),530599,True,2025-04-02T00:00:00Z,https://www.nba.com/,
ethereum-up-or-down-september-16-6pm-et,RESOLVED,Up,"Ethereum Up or Down - September 16, 6PM ET",595058,True,2025-09-16T23:00:00Z,https://www.binance.com/en/trade/ETH_USDT,
will-any-electoral-certificates-be-formally-challenged-in-congress,RESOLVED_UNKNOWN,,Will any Electoral College Certificates of Vote be formally challenged in Congress?,7740,True,2021-02-01T00:00:00Z,https://www.predictit.org/markets/detail/7006/How-many-electoral-certificates-of-vote-will-be-formally-challenged-in-Congress,no payout==1 found
will-the-price-of-solana-be-between-232-and-234-on-september-22-at-12am-et,RESOLVED,Yes,Will the price of Solana be between $232 and $234 on September 22 at 12AM ET?,606943,True,2025-09-22T04:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-tallon-griekspoor-win-the-2025-terra-wortmann-open,RESOLVED,No,Will Tallon Griekspoor win the 2025 Terra Wortmann Open?,551707,True,2025-06-22T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
nfl-hou-bal-2025-10-05-spread-away-18pt5,RESOLVED,Texans,Spread: Texans (-18.5),622684,True,2025-10-05T17:00:00Z,https://www.nfl.com/scores,
will-china-invade-taiwan-in-2023,RESOLVED,No,Will China invade Taiwan in 2023?,252608,True,2023-12-31T00:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
will-the-highest-temperature-in-new-york-city-be-between-80-81f-on-july-13,RESOLVED,No,Will the highest temperature in New York City be between 80-81°F on July 13?,562336,True,2025-07-13T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-xander-schauffele-win-the-british-open,RESOLVED,Yes,Will Xander Schauffele win the British Open?,503552,True,2024-07-21T12:00:00Z,https://www.theopen.com/,
will-the-cleveland-browns-finish-with-the-worst-record-in-the-nfl,RESOLVED,No,Will the Cleveland Browns finish with the worst record in the NFL?,514547,True,2025-01-05T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
bitcoin-up-or-down-august-30-5pm-et,RESOLVED,Down,"Bitcoin Up or Down - August 30, 5PM ET",582577,True,2025-08-30T22:00:00Z,https://www.binance.com/en/trade/BTC_USDT,
will-someone-else-win-gold-in-the-mens-400m,RESOLVED,No,Will someone else win gold in the Men’s 400m?,504641,True,2024-08-07T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
eth-up-or-down-15m-1757802600,RESOLVED,Down,"Ethereum Up or Down - September 13, 6:30PM-6:45PM ET",596863,True,2025-09-13T22:45:00Z,https://data.chain.link/streams/eth-usd,
will-coinbase-delist-ripple-xrp-before-they-begin-publicly-trading,RESOLVED_UNKNOWN,,Will Coinbase delist Ripple (XRP) before they begin publicly trading?,12576,True,2021-09-01T00:00:00Z,https://help.coinbase.com/en/coinbase/getting-started/general-crypto-education/supported-cryptocurrencies,no payout==1 found
nhl-det-wpg-2025-01-04,RESOLVED,Red Wings,Red Wings vs. Jets,516696,True,2025-01-12T00:00:00Z,https://www.nhl.com/,
will-elon-tweet-between-55-and-64-times,RESOLVED,No,Will Elon tweet between 55 and 64 times?,501819,True,2024-05-31T12:00:00Z,https://www.xtracker.io/,
cbb-wcu-uncg-2025-02-08,RESOLVED,UNC Greensboro,Western Carolina vs. UNC Greensboro,522329,True,2025-02-15T21:00:00Z,https://www.ncaa.com/,
will-kurt-kitayama-win-the-2025-fedex-st-jude-championship,RESOLVED,No,Will Kurt Kitayama win the 2025 FedEx St. Jude Championship?,571446,True,2025-08-11T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
ethereum-spot-etf-approved-by-mar-31,RESOLVED,No,Ethereum spot ETF approved by Mar 31?,253452,True,2024-03-31T00:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
will-egypt-open-its-border-for-palestinian-refugees-by-oct-20,RESOLVED,No,Will Egypt open its border for Palestinian refugees by Oct 20?,252657,True,2023-10-20T00:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
will-trump-say-tren-de-aragua-during-bukele-visit-on-april-14,RESOLVED,No,"Will Trump say ""Tren de Aragua"" during Bukele visit on April 14?",536002,True,2025-04-14T12:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
eth-multistrike-4h-1756468800-4375,RESOLVED,No,"Will the price of Ethereum be above $4,375 on August 29 at 8AM ET?",582925,True,2025-08-29T12:00:00Z,0x157Ce2d672854c848c9b79C49a8Cc6cc89176a49,
will-an-official-presidential-inauguration-take-place-in-person-outside-the-us-capitol-on-january-20th-2021,RESOLVED_UNKNOWN,,"Will an official Presidential inauguration take place in-person outside the US Capitol on January 20th, 2021?",34767,True,2021-01-21T00:00:00Z,,no payout==1 found
mlb-pit-cin-2025-04-11,RESOLVED,Cincinnati Reds,Pittsburgh Pirates vs. Cincinnati Reds,535844,True,2025-04-18T22:40:00Z,https://www.mlb.com/,
nba-okc-mem-2025-04-26-spread-home-17pt5,RESOLVED,Grizzlies,Spread: Thunder (-17.5),539750,True,2025-05-03T19:30:00Z,https://www.nba.com/,
will-taylor-swift-say-pre-order-during-travis-kelces-podcast-on-wednesday,RESOLVED,Yes,"Will Taylor Swift say ""Pre-order"" during Travis Kelce's podcast on Wednesday?",575228,True,2025-08-13T00:00:00Z,0x157Ce2d672854c848c9b79C49a8Cc6cc89176a49,
xrp-up-or-down-july-7-7am-et,RESOLVED,Down,"XRP Up or Down - July 7, 7AM ET",560030,True,2025-07-07T12:00:00Z,https://www.binance.com/en/trade/XRP_USDT,
will-the-highest-temperature-in-london-be-between-53-54f-on-february-28-25,RESOLVED,No,Will the highest temperature in London be between 53-54°F on February 28?,525290,True,2025-02-28T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-kamala-say-gun-during-fox-news-interview,RESOLVED,Yes,"Will Kamala say ""gun"" during Fox News interview? ",509898,True,2024-10-16T12:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
sol-multistrike-4h-1757865600-254,RESOLVED,No,Will the price of Solana be above $254 on September 14 at 12PM ET?,597453,True,2025-09-14T16:00:00Z,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,
will-the-10-year-treasury-yield-be-between-4pt2-and-4pt3-on-april-11,RESOLVED,No,Will the 10-year Treasury yield be between 4.2% and 4.3% on April 11?,535647,True,2025-04-11T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-the-buccaneers-or-the-saints-win-their-jan-17th-matchup,RESOLVED_UNKNOWN,,Will the Buccaneers or the Saints win their Jan 17th matchup?,42115,True,2021-01-18T00:00:00Z,https://www.nfl.com/,no payout==1 found
nhl-tor-fla-2025-05-16,RESOLVED,Maple Leafs,Maple Leafs vs. Panthers,544289,True,2025-05-23T04:00:00Z,https://www.nhl.com/,
eth-up-or-down-15m-1759269600,RESOLVED,Up,"Ethereum Up or Down - September 30, 6:00PM-6:15PM ET",618481,True,2025-09-30T22:15:00Z,https://data.chain.link/streams/eth-usd,
will-marquise-brown-score-a-touchdown,RESOLVED,No,Will Marquise Brown score a touchdown?,518905,True,2025-01-18T12:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
nfl-den-no-2025-08-23,RESOLVED,Broncos ,Broncos vs. Saints ,576105,True,2025-08-30T00:00:00Z,https://www.nfl.com/,
cbb-msst-mizz-2025-03-13,RESOLVED,Missouri,Mississippi State vs. Missouri,527945,True,2025-03-20T23:00:00Z,https://www.ncaa.com/,
will-the-price-of-ethereum-be-between-4400-and-4425-on-september-15-at-4pm-et,RESOLVED,No,"Will the price of Ethereum be between $4,400 and $4,425 on September 15 at 4PM ET?",598856,True,2025-09-15T20:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
nba-sac-lal-2023-10-29,RESOLVED,Kings,Kings vs. Lakers,252815,True,2023-10-29T00:00:00Z,https://www.nba.com/,
will-4-total-points-be-scored-in-the-first-minute-of-game-7-of-the-2025-nba-finals,RESOLVED,No,Will 4 total points be scored in the first minute of Game 7 of the 2025 NBA Finals?,554496,True,2025-06-22T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
cfb-duke-syra-2025-09-27-spread-away-5pt5,RESOLVED,Duke,Spread: Duke (-5.5),608820,True,2025-09-27T16:00:00Z,https://www.ncaa.com/,
will-kon-knueppel-be-drafted-in-the-top-10-of-the-2025-nba-draft,RESOLVED,Yes,Will Kon Knueppel be drafted in the top 10 of the 2025 NBA Draft?,553545,True,2025-06-26T00:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
will-the-price-of-ethereum-be-between-4550-and-4575-on-september-18-at-12pm-et,RESOLVED,No,"Will the price of Ethereum be between $4,550 and $4,575 on September 18 at 12PM ET?",602688,True,2025-09-18T16:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-tom-mckibbin-win-the-2025-liv-golf-dallas-tournament,RESOLVED,No,Will Tom McKibbin win the 2025 LIV Golf Dallas tournament?,553914,True,2025-06-29T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
ethereum-up-or-down-june-16-7-pm-et,RESOLVED,Down,"Ethereum Up or Down - June 16, 7 PM ET",552317,True,2025-06-17T00:00:00Z,https://www.binance.com/en/trade/ETH_USDT,
sol-multistrike-4h-1756555200-206,RESOLVED,No,Will the price of Solana be above $206 on August 30 at 8AM ET?,583892,True,2025-08-30T12:00:00Z,0x157Ce2d672854c848c9b79C49a8Cc6cc89176a49,
nba-sas-den-2025-04-02-total-234pt5,RESOLVED,Under,Over 234.5,533497,True,2025-04-10T01:00:00Z,https://www.nba.com/,
will-the-highest-temperature-in-london-be-56f-or-below-on-april-8,RESOLVED,No,Will the highest temperature in London be 56°F or below on April 8?,534114,True,2025-04-08T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-trump-publicly-disparage-elon-before-july,RESOLVED,Yes,Will Trump publicly disparage Elon before July?,549323,True,2025-06-30T00:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
nba-was-orl-2025-02-23,RESOLVED,Magic,Wizards vs. Magic,523839,True,2025-03-02T23:00:00Z,https://www.nba.com/,
will-the-highest-temperature-in-new-york-city-be-between-95-96f-on-july-17,RESOLVED,No,Will the highest temperature in New York City be between 95-96°F on July 17?,563438,True,2025-07-17T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
cbb-af-unm-2025-03-01,RESOLVED,New Mexico,Air Force vs. New Mexico,525274,True,2025-03-08T19:00:00Z,https://www.ncaa.com/,
nhl-dal-ana-2025-02-04,RESOLVED,Ducks,Stars vs. Ducks,521423,True,2025-02-12T03:30:00Z,https://www.nhl.com/,
wta-uchijima-vs-garland-2025-09-23,RESOLVED,Uchijima,"China Open, Qualification: Moyuka Uchijima vs Joanna Garland",609109,True,2025-09-30T06:00:00Z,https://www.wtatennis.com/scores,
tur-tra-kay-2025-10-03-kay,RESOLVED,No,Will Kayserispor win on 2025-10-03?,617121,True,2025-10-03T17:00:00Z,https://tff.org/,
will-sol-flip-eth-before-may,RESOLVED,No,Will SOL flip ETH before May?,519683,True,2025-04-30T12:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
xrp-up-or-down-july-11-12pm-et,RESOLVED,Up,"XRP Up or Down - July 11, 12PM ET",561515,True,2025-07-11T17:00:00Z,https://www.binance.com/en/trade/XRP_USDT,
xrp-up-or-down-september-8-1pm-et,RESOLVED,Up,"XRP Up or Down - September 8, 1PM ET",588522,True,2025-09-08T18:00:00Z,https://www.binance.com/en/trade/XRP_USDT,
epl-not-mac-2025-03-08-mac,RESOLVED,No,Will Manchester City win on 2025-03-08?,524635,True,2025-03-08T12:30:00Z,https://www.premierleague.com/,
will-ukraine-win-the-third-most-gold-medals-in-the-2024-paralympics,RESOLVED,No,Will Ukraine win the third most medals in the 2024 Paralympics?,506238,True,2024-09-08T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-trump-say-drone-during-fox-news-oval-office-interview,RESOLVED,Yes,"Will Trump say ""Drone"" during Fox News Oval Office interview?",519673,True,2025-01-22T12:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
will-slovakia-win-the-2025-uefa-european-u21-championship,RESOLVED,No,Will Slovakia win the 2025 UEFA European U21 Championship?,551921,True,2025-06-29T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-the-saints-beat-the-giants-by-6-or-more-points,RESOLVED,Giants,Will the Saints beat the Giants by 6 or more points?,515010,True,2024-12-08T12:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
will-the-price-of-ethereum-be-between-4525-and-4550-on-september-21-at-4am-et,RESOLVED,No,"Will the price of Ethereum be between $4,525 and $4,550 on September 21 at 4AM ET?",605968,True,2025-09-21T08:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
nba-sac-cha-2025-04-04-total-218pt5,RESOLVED,Over,Over 218.5,533875,True,2025-04-11T23:00:00Z,https://www.nba.com/,
us-politicians-banned-from-launching-cryptocurrencies-before-july,RESOLVED,No,US Politicians banned from launching cryptocurrencies before July?,525811,True,2025-06-30T12:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
will-ethereum-reach-4000-in-november,RESOLVED,No,"Will Ethereum reach $4,000 in November?",512661,True,2024-11-30T12:00:00Z,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
will-the-highest-temperature-in-nyc-be-between-30-31f-on-february-17,RESOLVED,No,Will the highest temperature in NYC be between 30-31°F on February 17?,523512,True,2025-02-17T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
blast-bounty-ecstatic-vs-liquid,RESOLVED,Liquid,BLAST Bounty: ECSTATIC vs. Liquid,572143,True,2025-08-06T00:00:00Z,0x157Ce2d672854c848c9b79C49a8Cc6cc89176a49,
will-carlos-alcaraz-win-31-against-jannik-sinner,RESOLVED,No,Will Carlos Alcaraz win 3:1 against Jannik Sinner?,562784,True,2025-07-13T00:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
will-summer-mcintosh-can-win-gold-in-womens-400m-freestyle,RESOLVED,No,Will Summer McIntosh (CAN) win Gold in Women's 400m Freestyle?,504118,True,2024-07-28T12:00:00Z,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,
